,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown
SPY,0.2334261396025088,0.19248795313610706,1.1087766071864065,-0.18755230403972267
QQQ,0.307068087344216,0.2355225417266254,1.2188561028583849,-0.22768303549553837
VTI,0.2326591320361142,0.19272456538196736,1.103435525277423,-0.1930359870637004
AGG,0.04902881362197875,0.050792437590835085,0.571518418860383,-0.04822059822985181
EFA,0.21486366836211124,0.1674736767074345,1.16354804046325,-0.14053475967120543
